mim_number,mim_name,prefix
100050,"AARSKOG SYNDROME, AUTOSOMAL DOMINANT",
100070,"AORTIC ANEURYSM, FAMILIAL ABDOMINAL, 1; AAA1",Percent
100100,PRUNE BELLY SYNDROME; PBS,Number Sign
100200,ABDUCENS PALSY,
100300,ADAMS-OLIVER SYNDROME 1; AOS1,Number Sign
100500,MOVED TO 200150,Caret
100600,ACANTHOSIS NIGRICANS,Percent
100640,"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1; ALDH1A1",Asterisk
100650,ALDEHYDE DEHYDROGENASE 2 FAMILY; ALDH2,Plus
100660,"ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 1; ALDH3A1",Asterisk
100670,"ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER B1; ALDH1B1",Asterisk
100675,ACETAMINOPHEN METABOLISM,
100678,ACETYL-CoA ACETYLTRANSFERASE 2; ACAT2,Asterisk
100680,MOVED TO 100740,Caret
100690,"CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1; CHRNA1",Asterisk
100700,ACHARD SYNDROME,
100710,"CHOLINERGIC RECEPTOR, NICOTINIC, BETA POLYPEPTIDE 1; CHRNB1",Asterisk
100720,"CHOLINERGIC RECEPTOR, NICOTINIC, DELTA POLYPEPTIDE; CHRND",Asterisk
100725,"CHOLINERGIC RECEPTOR, NICOTINIC, EPSILON POLYPEPTIDE; CHRNE",Asterisk
100730,"CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE; CHRNG",Asterisk
100735,MOVED TO 142445,Caret
100740,ACETYLCHOLINESTERASE; ACHE,Asterisk
100790,"ACHAETE-SCUTE COMPLEX, DROSOPHILA, HOMOLOG OF, 1; ASCL1",Asterisk
100800,ACHONDROPLASIA; ACH,Number Sign
100820,ACHOO SYNDROME,Percent
100850,"ACONITASE, MITOCHONDRIAL; ACO2",Asterisk
100880,"ACONITASE 1, SOLUBLE; ACO1",Asterisk
100900,MOVED TO 100880,Caret
101000,"NEUROFIBROMATOSIS, TYPE II; NF2",Number Sign
101120,ACROCEPHALOPOLYSYNDACTYLY TYPE III,
101200,APERT SYNDROME,Number Sign
101400,SAETHRE-CHOTZEN SYNDROME; SCS,Number Sign
101600,PFEIFFER SYNDROME,Number Sign
101800,ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1,Number Sign
101805,"ACROFACIAL DYSOSTOSIS, CATANIA TYPE",
101840,"ACROKERATODERMA, HEREDITARY PAPULOTRANSLUCENT",
101850,"PALMOPLANTAR KERATODERMA, PUNCTATE TYPE III; PPKP3",Percent
101900,ACROKERATOSIS VERRUCIFORMIS; AKV,Number Sign
102000,"ACROLEUKOPATHY, SYMMETRIC",
102100,"ACROMEGALOID CHANGES, CUTIS VERTICIS GYRATA, AND CORNEAL LEUKOMA",Percent
102150,ACROMEGALOID FACIAL APPEARANCE SYNDROME,Percent
