ensembl_id,gene_symbol,description,hg_chr,hg_start,hg_stop
ENSG00000179091,CYC1,cytochrome c-1,chr8,145149937,145152430
ENSG00000117118,SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",chr1,17345224,17380665
ENSG00000167186,COQ7,"coenzyme Q7 homolog, ubiquinone (yeast)",chr16,19078916,19091417
ENSG00000073578,SDHA,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",chr5,218355,256814
ENSG00000010256,UQCRC1,ubiquinol-cytochrome c reductase core protein I,chr3,48636431,48647098
ENSG00000110871,COQ5,"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)",chr12,120941081,120966964
ENSG00000131828,PDHA1,pyruvate dehydrogenase (lipoamide) alpha 1,chrX,19362010,19379825
ENSG00000088682,COQ9,coenzyme Q9,chr16,57481336,57495187
ENSG00000262814,MRPL12,mitochondrial ribosomal protein L12,chr17,79670399,79674556
ENSG00000099624,ATP5D,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",chr19,1241748,1244824
ENSG00000178741,COX5A,cytochrome c oxidase subunit Va,chr15,75212616,75230495
ENSG00000165898,ISCA2,iron-sulfur cluster assembly 2,chr14,74960422,74962271
ENSG00000105819,PMPCB,peptidase (mitochondrial processing) beta,chr7,102937872,102955133
ENSG00000169021,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",chr19,29698166,29704136
ENSG00000152234,ATP5A1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",chr18,43664109,43684199
ENSG00000105953,OGDH,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),chr7,44646120,44748669
ENSG00000168291,PDHB,pyruvate dehydrogenase (lipoamide) beta,chr3,58413356,58419579
ENSG00000140740,UQCRC2,ubiquinol-cytochrome c reductase core protein II,chr16,21964608,21994668
ENSG00000204370,SDHD,"succinate dehydrogenase complex, subunit D, integral membrane protein",chr11,111957547,111966525
ENSG00000061794,MRPS35,mitochondrial ribosomal protein S35,chr12,27863705,27909237
ENSG00000164405,UQCRQ,"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa",chr5,132202318,132204536
ENSG00000204822,MRPL53,mitochondrial ribosomal protein L53,chr2,74699084,74699942
ENSG00000137992,DBT,dihydrolipoamide branched chain transacylase E2,chr1,100652477,100715409
ENSG00000004799,PDK4,"pyruvate dehydrogenase kinase, isozyme 4",chr7,95212808,95225925
ENSG00000146701,MDH2,"malate dehydrogenase 2, NAD (mitochondrial)",chr7,75677336,75696827
ENSG00000113048,MRPS27,mitochondrial ribosomal protein S27,chr5,71515235,71616084
ENSG00000062485,CS,citrate synthase,chr12,56665482,56694175
ENSG00000109519,GRPEL1,"GrpE-like 1, mitochondrial (E. coli)",chr4,7061779,7069800
ENSG00000150768,DLAT,dihydrolipoamide S-acetyltransferase,chr11,111895537,111935002
ENSG00000138095,LRPPRC,leucine-rich pentatricopeptide repeat containing,chr2,44113362,44223144
ENSG00000119689,DLST,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),chr14,75348593,75370450
ENSG00000110435,PDHX,"pyruvate dehydrogenase complex, component X",chr11,34937676,35017675
ENSG00000168827,GFM1,"G elongation factor, mitochondrial 1",chr3,158362316,158410360
ENSG00000143158,MPC2,mitochondrial pyruvate carrier 2,chr1,167885912,167906307
ENSG00000023228,NDUFS1,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",chr2,206987802,207024243
ENSG00000259494,MRPL46,mitochondrial ribosomal protein L46,chr15,89002708,89010633
ENSG00000124172,ATP5E,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",chr20,57603732,57607422
ENSG00000075415,SLC25A3,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3",chr12,98987402,98995778
ENSG00000181610,MRPS23,mitochondrial ribosomal protein S23,chr17,55916286,55927433
ENSG00000091483,FH,fumarate hydratase,chr1,241660856,241683085
ENSG00000165688,PMPCA,peptidase (mitochondrial processing) alpha,chr9,139305024,139318213
ENSG00000110955,ATP5B,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",chr12,57031958,57039852
ENSG00000154079,C6orf57,chromosome 6 open reading frame 57,chr6,71276624,71298606
ENSG00000184076,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",chr22,30163357,30166402
ENSG00000135070,ISCA1,iron-sulfur cluster assembly 1,chr9,88879462,88897490
ENSG00000136143,SUCLA2,"succinate-CoA ligase, ADP-forming, beta subunit",chr13,48516790,48575462
ENSG00000132423,COQ3,coenzyme Q3 methyltransferase,chr6,99817347,99842082
ENSG00000067704,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial",chr1,220267454,220321383
ENSG00000116898,MRPS15,mitochondrial ribosomal protein S15,chr1,36921361,36930040
ENSG00000166411,IDH3A,isocitrate dehydrogenase 3 (NAD+) alpha,chr15,78441718,78462884
ENSG00000166260,COX11,cytochrome c oxidase assembly homolog 11 (yeast),chr17,53038566,53046064
ENSG00000171503,ETFDH,electron-transferring-flavoprotein dehydrogenase,chr4,159593252,159629865
ENSG00000134809,TIMM10,translocase of inner mitochondrial membrane 10 homolog (yeast),chr11,57295935,57298232
ENSG00000130312,MRPL34,mitochondrial ribosomal protein L34,chr19,17416476,17417652
ENSG00000112651,MRPL2,mitochondrial ribosomal protein L2,chr6,43021766,43027242
ENSG00000248098,BCKDHA,"branched chain keto acid dehydrogenase E1, alpha polypeptide",chr19,41903693,41930910
ENSG00000173660,UQCRH,ubiquinol-cytochrome c reductase hinge protein,chr1,46769379,46782447
ENSG00000146066,HIGD2A,"HIG1 hypoxia inducible domain family, member 2A",chr5,175815783,175816751
ENSG00000241837,ATP5O,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",chr21,35275756,35288158
ENSG00000127884,ECHS1,"enoyl CoA hydratase, short chain, 1, mitochondrial",chr10,135175986,135186908
ENSG00000050426,LETMD1,LETM1 domain containing 1,chr12,51442081,51454207
ENSG00000111775,COX6A1,cytochrome c oxidase subunit VIa polypeptide 1,chr12,120875892,120878545
ENSG00000014919,COX15,cytochrome c oxidase assembly homolog 15 (yeast),chr10,101468504,101492423
ENSG00000141385,AFG3L2,AFG3-like AAA ATPase 2,chr18,12328942,12377275
